query_id	doc_id	relevance
hotpotqa_portable::q::5a8b57f25542995d1e6f1371	hotpotqa_portable::doc::d9f512603d64a8e7	1
hotpotqa_portable::q::5a8b57f25542995d1e6f1371	hotpotqa_portable::doc::686220b8f7da4425	1
hotpotqa_portable::q::5a8c7595554299585d9e36b6	hotpotqa_portable::doc::0d7884099d3401a8	1
hotpotqa_portable::q::5a8c7595554299585d9e36b6	hotpotqa_portable::doc::0ee26e12da3ae382	1
hotpotqa_portable::q::5a85ea095542994775f606a8	hotpotqa_portable::doc::a3ee0804da33d1af	1
hotpotqa_portable::q::5a85ea095542994775f606a8	hotpotqa_portable::doc::0aaa11e480465c22	1
hotpotqa_portable::q::5adbf0a255429947ff17385a	hotpotqa_portable::doc::775b82ad3fa734bc	1
hotpotqa_portable::q::5adbf0a255429947ff17385a	hotpotqa_portable::doc::e75e584d13036188	1
hotpotqa_portable::q::5a8e3ea95542995a26add48d	hotpotqa_portable::doc::f43fa9e963d52f99	1
hotpotqa_portable::q::5a8e3ea95542995a26add48d	hotpotqa_portable::doc::c5dbe03b99809756	1
hotpotqa_portable::q::5abd94525542992ac4f382d2	hotpotqa_portable::doc::80b112952cc793b6	1
hotpotqa_portable::q::5abd94525542992ac4f382d2	hotpotqa_portable::doc::1c8b567c27ce773f	1
hotpotqa_portable::q::5a85b2d95542997b5ce40028	hotpotqa_portable::doc::9efaf749895aba3f	1
hotpotqa_portable::q::5a85b2d95542997b5ce40028	hotpotqa_portable::doc::e233cd9d2eeb816e	1
hotpotqa_portable::q::5a87ab905542996e4f3088c1	hotpotqa_portable::doc::24df576992e6f832	1
hotpotqa_portable::q::5a87ab905542996e4f3088c1	hotpotqa_portable::doc::815cf0336df8f093	1
hotpotqa_portable::q::5a7bbb64554299042af8f7cc	hotpotqa_portable::doc::1496b4ea790c1569	1
hotpotqa_portable::q::5a7bbb64554299042af8f7cc	hotpotqa_portable::doc::c1362acf893ae8a0	1
hotpotqa_portable::q::5a8db19d5542994ba4e3dd00	hotpotqa_portable::doc::d0ad5f08fa3ee7bb	1
hotpotqa_portable::q::5a8db19d5542994ba4e3dd00	hotpotqa_portable::doc::2f918db5bf03cb4b	1
hotpotqa_portable::q::5a7166395542994082a3e814	hotpotqa_portable::doc::40f08e362ca4fee1	1
hotpotqa_portable::q::5a7166395542994082a3e814	hotpotqa_portable::doc::5b7accd0f3108b04	1
hotpotqa_portable::q::5a877e5d5542993e715abf7d	hotpotqa_portable::doc::06cf7a758f680e54	1
hotpotqa_portable::q::5a877e5d5542993e715abf7d	hotpotqa_portable::doc::0b27e8cac343a005	1
hotpotqa_portable::q::5ab3b0bf5542992ade7c6e39	hotpotqa_portable::doc::9373b8ff8d20cbed	1
hotpotqa_portable::q::5ab3b0bf5542992ade7c6e39	hotpotqa_portable::doc::509e67f1dfef0705	1
hotpotqa_portable::q::5ab56e32554299637185c594	hotpotqa_portable::doc::e5b232620c041267	1
hotpotqa_portable::q::5ab56e32554299637185c594	hotpotqa_portable::doc::f02187b00cfe6031	1
hotpotqa_portable::q::5ab6d09255429954757d337d	hotpotqa_portable::doc::46361112c926eb17	1
hotpotqa_portable::q::5ab6d09255429954757d337d	hotpotqa_portable::doc::105a2bbbe2221993	1
hotpotqa_portable::q::5a75e05c55429976ec32bc5f	hotpotqa_portable::doc::bbf85188843c89d3	1
hotpotqa_portable::q::5a75e05c55429976ec32bc5f	hotpotqa_portable::doc::1e949464f53e3f91	1
hotpotqa_portable::q::5ab3e45655429976abd1bcd4	hotpotqa_portable::doc::e47648f3a63a4ad5	1
hotpotqa_portable::q::5ab3e45655429976abd1bcd4	hotpotqa_portable::doc::34ac1f200e1fa189	1
hotpotqa_portable::q::5ab29c24554299449642c932	hotpotqa_portable::doc::c2ee0aefe922a0a0	1
hotpotqa_portable::q::5ab29c24554299449642c932	hotpotqa_portable::doc::f4c84c1e3c14add4	1
hotpotqa_portable::q::5ae0d4c9554299603e418468	hotpotqa_portable::doc::0a693ae2446fe11e	1
hotpotqa_portable::q::5ae0d4c9554299603e418468	hotpotqa_portable::doc::f1e8dc2765ede818	1
hotpotqa_portable::q::5a8133725542995ce29dcbdb	hotpotqa_portable::doc::2feb55db811914eb	1
hotpotqa_portable::q::5a8133725542995ce29dcbdb	hotpotqa_portable::doc::065c87608cbe21ed	1
hotpotqa_portable::q::5ae7a8175542993210983ed8	hotpotqa_portable::doc::b9c696a65cafa981	1
hotpotqa_portable::q::5ae7a8175542993210983ed8	hotpotqa_portable::doc::66c7530132888032	1
hotpotqa_portable::q::5ae6050f55429929b0807a5e	hotpotqa_portable::doc::9ee69aa6cd525ac4	1
hotpotqa_portable::q::5ae6050f55429929b0807a5e	hotpotqa_portable::doc::d99d853019057400	1
hotpotqa_portable::q::5adddccd5542997dc7907069	hotpotqa_portable::doc::a9d7e483119c4ee8	1
hotpotqa_portable::q::5adddccd5542997dc7907069	hotpotqa_portable::doc::b32f93f2b0c9c628	1
hotpotqa_portable::q::5ae2070a5542994d89d5b313	hotpotqa_portable::doc::b8454c1c48a1331c	1
hotpotqa_portable::q::5ae2070a5542994d89d5b313	hotpotqa_portable::doc::4481e77e21c2f868	1
hotpotqa_portable::q::5ae22b8d554299234fd0440f	hotpotqa_portable::doc::9b7d12909e7dcf00	1
hotpotqa_portable::q::5ae22b8d554299234fd0440f	hotpotqa_portable::doc::8d1b158893699e98	1
hotpotqa_portable::q::5a722b8655429971e9dc9329	hotpotqa_portable::doc::a5573de7e363aa99	1
hotpotqa_portable::q::5a722b8655429971e9dc9329	hotpotqa_portable::doc::75beeb82e56f472a	1
hotpotqa_portable::q::5adf37a95542995ec70e8f97	hotpotqa_portable::doc::f59702cc310f608a	1
hotpotqa_portable::q::5adf37a95542995ec70e8f97	hotpotqa_portable::doc::0cb66544ac7951f6	1
hotpotqa_portable::q::5abd259d55429924427fcf1a	hotpotqa_portable::doc::d4c72d2323cf672a	1
hotpotqa_portable::q::5abd259d55429924427fcf1a	hotpotqa_portable::doc::d4ea24a18e9dcada	1
hotpotqa_portable::q::5a828c8355429966c78a6a50	hotpotqa_portable::doc::07606b656ef0127b	1
hotpotqa_portable::q::5a828c8355429966c78a6a50	hotpotqa_portable::doc::ffdd3dd81a02d9eb	1
hotpotqa_portable::q::5a8a3e745542996c9b8d5e70	hotpotqa_portable::doc::f1e941fd102e23ad	1
hotpotqa_portable::q::5a8a3e745542996c9b8d5e70	hotpotqa_portable::doc::058de2504a52c62e	1
hotpotqa_portable::q::5ac23ff0554299636651994d	hotpotqa_portable::doc::3d631c1f35fe8009	1
hotpotqa_portable::q::5ac23ff0554299636651994d	hotpotqa_portable::doc::416bb7d781a50bc4	1
hotpotqa_portable::q::5ae4a3265542995ad6573de5	hotpotqa_portable::doc::7183f8f7d798ab09	1
hotpotqa_portable::q::5ae4a3265542995ad6573de5	hotpotqa_portable::doc::382c8f1619083684	1
hotpotqa_portable::q::5ae0361155429925eb1afc2c	hotpotqa_portable::doc::c1d46eff2d3e0c1b	1
