scenario,budget_level,clients_read,engine,embedding_model,run_id,timestamp_utc,repeat_idx,engine_version,dataset_bundle,dataset_hash,seed,clients_write,quality_target,search_params_json,recall_at_10,ndcg_at_10,mrr_at_10,p50_ms,p95_ms,p99_ms,qps,rhu_h,sla_threshold_ms,sla_violation_rate,errors,rtt_baseline_ms_p50,rtt_baseline_ms_p99,task_cost_est,freshness_hit_at_1s,freshness_hit_at_5s,stale_answer_rate_at_5s,p95_visibility_latency_ms,evidence_coverage_at_10,setup_elapsed_s,warmup_target_s,warmup_elapsed_s,warmup_requests,measure_target_s,measure_elapsed_s,measure_requests,export_elapsed_s,resource_cpu_vcpu,resource_gpu_count,resource_ram_gib,resource_disk_tb,rhu_rate,__run_path,__meta_run_id,__meta_config_fingerprint,__meta_ground_truth_source,__meta_ground_truth_metric,__meta_ground_truth_engine,__meta_ground_truth_k,__meta_profile,__meta_budget_level,__meta_embedding_model,__meta_embedding_dim,__meta_c_llm_in,__search_payload,profile,primary_quality_metric,primary_quality_value,observation_path,evidence_coverage_at_5,evidence_coverage_at_20,avg_retrieved_input_tokens,retrieval_cost_est,embedding_cost_est,llm_context_cost_est,event_count,overlap_skipped_event_count,budget_sort,rank_within_budget
s1_single_hop,b0,1,pgvector,BAAI/bge-small-en-v1.5,run-82c0bdab82-r0-c1-t25-portable_s1,2026-04-25T22:37:13+00:00,0,postgres16-pgvector,D4,portable-s1-unresolved,42,0,0.25,"{""avg_retrieved_input_tokens"": 1509.301652892562, ""budget_level"": ""b0"", ""c_llm_in"": 0.15, ""embedding_cost_est"": 0.0, ""embedding_dim"": 384, ""embedding_model"": ""BAAI/bge-small-en-v1.5"", ""evidence_coverage_at_10"": 0.46843024399842575, ""evidence_coverage_at_20"": 0.5506116358389086, ""evidence_coverage_at_5"": 0.3813254296208841, ""llm_context_cost_est"": 226.3952479338843, ""primary_quality_metric"": ""ndcg_at_10"", ""primary_quality_value"": 0.38811298216142825, ""profile"": ""portable-agentic"", ""retrieval_cost_est"": 1.4996327836602818e-08, ""search_params"": {""ivfflat_probes"": 32}, ""task_cost_est"": 226.3952479488806}",0.46843024399842575,0.38811298216142825,0.4441943788534697,20.515624957624823,21.14285792922601,24.104554218938578,48.35335029807784,7.258222672915764e-06,50.0,0.0,0,0.3438119892962277,0.49419768503867056,226.3952479488806,,,,,0.46843024399842575,30.948224666994065,10,10.014988500042818,330,10,10.009647666942328,484,0.6106127920793369,1.0,0.0,0.0,0.0001927688717842102,0.0026104416950450586,/Volumes/Max/AI/Project/MaxionBench/artifacts/runs/portable/b0/s1_single_hop__bge-small-en-v1-5/pgvector,run-82c0bdab82-r0-c1-t25-portable_s1,82c0bdab82f62843d3427ac1465cef578e9b07b9634c490430c4d44fb62e6c1f,portable_text_qrels,ndcg_at_10,processed_text_qrels,10.0,portable-agentic,b0,BAAI/bge-small-en-v1.5,384.0,0.15,"{'avg_retrieved_input_tokens': 1509.301652892562, 'budget_level': 'b0', 'c_llm_in': 0.15, 'embedding_cost_est': 0.0, 'embedding_dim': 384, 'embedding_model': 'BAAI/bge-small-en-v1.5', 'evidence_coverage_at_10': 0.46843024399842575, 'evidence_coverage_at_20': 0.5506116358389086, 'evidence_coverage_at_5': 0.3813254296208841, 'llm_context_cost_est': 226.3952479338843, 'primary_quality_metric': 'ndcg_at_10', 'primary_quality_value': 0.38811298216142825, 'profile': 'portable-agentic', 'retrieval_cost_est': 1.4996327836602818e-08, 'search_params': {'ivfflat_probes': 32}, 'task_cost_est': 226.3952479488806}",portable-agentic,ndcg_at_10,0.38811298216142825,,,,,,,,,,0,1.0
s1_single_hop,b0,1,faiss-cpu,BAAI/bge-small-en-v1.5,run-79eb239621-r0-c1-t25-portable_s1,2026-04-25T22:33:42+00:00,0,cpu,D4,portable-s1-unresolved,42,0,0.25,"{""avg_retrieved_input_tokens"": 1751.7281879194632, ""budget_level"": ""b0"", ""c_llm_in"": 0.15, ""embedding_cost_est"": 0.0, ""embedding_dim"": 384, ""embedding_model"": ""BAAI/bge-small-en-v1.5"", ""evidence_coverage_at_10"": 0.6007523702993501, ""evidence_coverage_at_20"": 0.6635795071197755, ""evidence_coverage_at_5"": 0.5169432015908526, ""llm_context_cost_est"": 262.75922818791946, ""primary_quality_metric"": ""ndcg_at_10"", ""primary_quality_value"": 0.5055062099023669, ""profile"": ""portable-agentic"", ""retrieval_cost_est"": 9.60830160214631e-10, ""search_params"": {""hnsw_ef"": 32}, ""task_cost_est"": 262.7592281888803}",0.6007523702993501,0.5055062099023669,0.5295093391569902,1.304562552832067,1.3351953472010791,1.3750116131268442,764.0715983483703,8.589821632318802e-07,50.0,0.0,0,0.009040930308401585,0.009125098586082458,262.7592281888803,,,,,0.6007523702993501,4.106392042012885,10,1.1674875000026077,894,10,1.1700474169338122,894,0.3723315829411149,1.0,0.0,0.07450580596923828,7.275957614183426e-05,0.0026429149305234505,/Volumes/Max/AI/Project/MaxionBench/artifacts/runs/portable/b0/s1_single_hop__bge-small-en-v1-5/faiss_cpu,run-79eb239621-r0-c1-t25-portable_s1,79eb239621a0706041ab4e78eebe63194545a6cfbb7fd780c662120593df2342,portable_text_qrels,ndcg_at_10,processed_text_qrels,10.0,portable-agentic,b0,BAAI/bge-small-en-v1.5,384.0,0.15,"{'avg_retrieved_input_tokens': 1751.7281879194632, 'budget_level': 'b0', 'c_llm_in': 0.15, 'embedding_cost_est': 0.0, 'embedding_dim': 384, 'embedding_model': 'BAAI/bge-small-en-v1.5', 'evidence_coverage_at_10': 0.6007523702993501, 'evidence_coverage_at_20': 0.6635795071197755, 'evidence_coverage_at_5': 0.5169432015908526, 'llm_context_cost_est': 262.75922818791946, 'primary_quality_metric': 'ndcg_at_10', 'primary_quality_value': 0.5055062099023669, 'profile': 'portable-agentic', 'retrieval_cost_est': 9.60830160214631e-10, 'search_params': {'hnsw_ef': 32}, 'task_cost_est': 262.7592281888803}",portable-agentic,ndcg_at_10,0.5055062099023669,,,,,,,,,,0,2.0
s1_single_hop,b0,1,lancedb-inproc,BAAI/bge-small-en-v1.5,run-84c9618a86-r0-c1-t25-portable_s1,2026-04-25T22:34:44+00:00,0,local,D4,portable-s1-unresolved,42,0,0.25,"{""avg_retrieved_input_tokens"": 1751.7281879194632, ""budget_level"": ""b0"", ""c_llm_in"": 0.15, ""embedding_cost_est"": 0.0, ""embedding_dim"": 384, ""embedding_model"": ""BAAI/bge-small-en-v1.5"", ""evidence_coverage_at_10"": 0.6007523702993501, ""evidence_coverage_at_20"": 0.6635795071197755, ""evidence_coverage_at_5"": 0.5169432015908526, ""llm_context_cost_est"": 262.75922818791946, ""primary_quality_metric"": ""ndcg_at_10"", ""primary_quality_value"": 0.5055062099023669, ""profile"": ""portable-agentic"", ""retrieval_cost_est"": 7.264899763527018e-09, ""search_params"": {""hnsw_ef"": 64}, ""task_cost_est"": 262.75922819518433}",0.6007523702993501,0.5055062099023669,0.5295093391569902,9.906229563057423,10.240589833119884,10.550027329009021,101.04443143374893,6.494820388593154e-06,50.0,0.0,0,0.000125030055642128,0.00016705598682165146,262.75922819518433,,,,,0.6007523702993501,20.739777833106928,10,8.995464458013885,894,10,8.847592958016321,894,0.4273931250208989,1.0,0.0,0.07152557373046875,0.00011023363549611531,0.0026426795977035527,/Volumes/Max/AI/Project/MaxionBench/artifacts/runs/portable/b0/s1_single_hop__bge-small-en-v1-5/lancedb_inproc,run-84c9618a86-r0-c1-t25-portable_s1,84c9618a8652c1f486277f2a50d5bdca45ba1d01bf96da0903107fc21e7fe5fc,portable_text_qrels,ndcg_at_10,processed_text_qrels,10.0,portable-agentic,b0,BAAI/bge-small-en-v1.5,384.0,0.15,"{'avg_retrieved_input_tokens': 1751.7281879194632, 'budget_level': 'b0', 'c_llm_in': 0.15, 'embedding_cost_est': 0.0, 'embedding_dim': 384, 'embedding_model': 'BAAI/bge-small-en-v1.5', 'evidence_coverage_at_10': 0.6007523702993501, 'evidence_coverage_at_20': 0.6635795071197755, 'evidence_coverage_at_5': 0.5169432015908526, 'llm_context_cost_est': 262.75922818791946, 'primary_quality_metric': 'ndcg_at_10', 'primary_quality_value': 0.5055062099023669, 'profile': 'portable-agentic', 'retrieval_cost_est': 7.264899763527018e-09, 'search_params': {'hnsw_ef': 64}, 'task_cost_est': 262.75922819518433}",portable-agentic,ndcg_at_10,0.5055062099023669,,,,,,,,,,0,3.0
s1_single_hop,b0,1,qdrant,BAAI/bge-small-en-v1.5,run-3291dfdc39-r0-c1-t25-portable_s1,2026-04-25T22:40:20+00:00,0,server,D4,portable-s1-unresolved,42,0,0.25,"{""avg_retrieved_input_tokens"": 1760.182326621924, ""budget_level"": ""b0"", ""c_llm_in"": 0.15, ""embedding_cost_est"": 0.0, ""embedding_dim"": 384, ""embedding_model"": ""BAAI/bge-small-en-v1.5"", ""evidence_coverage_at_10"": 0.5916360392031533, ""evidence_coverage_at_20"": 0.6498770462696638, ""evidence_coverage_at_5"": 0.50982165050957, ""llm_context_cost_est"": 264.02734899328857, ""primary_quality_metric"": ""ndcg_at_10"", ""primary_quality_value"": 0.49779975101480195, ""profile"": ""portable-agentic"", ""retrieval_cost_est"": 3.039860887754411e-09, ""search_params"": {""hnsw_ef"": 32}, ""task_cost_est"": 264.02734899632844}",0.5916360392031533,0.49779975101480195,0.5227868328539469,4.111875023227185,5.378220824059099,6.04171122307889,237.96471494588707,2.7176356336524432e-06,50.0,0.0,0,4.703374928794801,7.62060853652656,264.02734899632844,,,,,0.5916360392031533,30.224633499979973,10,3.448813874972984,894,10,3.7568594999611378,894,0.4492477079620585,1.0,0.0,0.0,0.0,0.0026041666666666665,/Volumes/Max/AI/Project/MaxionBench/artifacts/runs/portable/b0/s1_single_hop__bge-small-en-v1-5/qdrant,run-3291dfdc39-r0-c1-t25-portable_s1,3291dfdc394124244e9f5014bc102ccd6d77bb72491dda3aa295acfe091c01e7,portable_text_qrels,ndcg_at_10,processed_text_qrels,10.0,portable-agentic,b0,BAAI/bge-small-en-v1.5,384.0,0.15,"{'avg_retrieved_input_tokens': 1760.182326621924, 'budget_level': 'b0', 'c_llm_in': 0.15, 'embedding_cost_est': 0.0, 'embedding_dim': 384, 'embedding_model': 'BAAI/bge-small-en-v1.5', 'evidence_coverage_at_10': 0.5916360392031533, 'evidence_coverage_at_20': 0.6498770462696638, 'evidence_coverage_at_5': 0.50982165050957, 'llm_context_cost_est': 264.02734899328857, 'primary_quality_metric': 'ndcg_at_10', 'primary_quality_value': 0.49779975101480195, 'profile': 'portable-agentic', 'retrieval_cost_est': 3.039860887754411e-09, 'search_params': {'hnsw_ef': 32}, 'task_cost_est': 264.02734899632844}",portable-agentic,ndcg_at_10,0.49779975101480195,,,,,,,,,,0,4.0
s1_single_hop,b0,1,faiss-cpu,BAAI/bge-base-en-v1.5,run-4d60b430e0-r0-c1-t25-portable_s1,2026-04-25T22:22:12+00:00,0,cpu,D4,portable-s1-unresolved,42,0,0.25,"{""avg_retrieved_input_tokens"": 1883.7371364653243, ""budget_level"": ""b0"", ""c_llm_in"": 0.15, ""embedding_cost_est"": 0.0, ""embedding_dim"": 768, ""embedding_model"": ""BAAI/bge-base-en-v1.5"", ""evidence_coverage_at_10"": 0.6235764887610525, ""evidence_coverage_at_20"": 0.6932584070167963, ""evidence_coverage_at_5"": 0.5599845531053584, ""llm_context_cost_est"": 282.5605704697986, ""primary_quality_metric"": ""ndcg_at_10"", ""primary_quality_value"": 0.5268284656504536, ""profile"": ""portable-agentic"", ""retrieval_cost_est"": 2.003001288734621e-09, ""search_params"": {""hnsw_ef"": 32}, ""task_cost_est"": 282.5605704718016}",0.6235764887610525,0.5268284656504536,0.5555546678029899,2.687041473109275,2.732014749199152,2.78756933985278,371.6801935203145,1.7906831521287509e-06,50.0,0.0,0,0.017062469851225615,0.01750001683831215,282.5605704718016,,,,,0.6235764887610525,7.54601524991449,10,2.4078372499207035,894,10,2.4052936249645427,894,0.4043045421130955,1.0,0.0,0.14603137969970703,0.00014260876923799515,0.0026801132638259633,/Volumes/Max/AI/Project/MaxionBench/artifacts/runs/portable/b0/s1_single_hop__bge-base-en-v1-5/faiss_cpu,run-4d60b430e0-r0-c1-t25-portable_s1,4d60b430e04a8a834a660210ed44050a23c008722b50ca5a1d994d604b1cd7ea,portable_text_qrels,ndcg_at_10,processed_text_qrels,10.0,portable-agentic,b0,BAAI/bge-base-en-v1.5,768.0,0.15,"{'avg_retrieved_input_tokens': 1883.7371364653243, 'budget_level': 'b0', 'c_llm_in': 0.15, 'embedding_cost_est': 0.0, 'embedding_dim': 768, 'embedding_model': 'BAAI/bge-base-en-v1.5', 'evidence_coverage_at_10': 0.6235764887610525, 'evidence_coverage_at_20': 0.6932584070167963, 'evidence_coverage_at_5': 0.5599845531053584, 'llm_context_cost_est': 282.5605704697986, 'primary_quality_metric': 'ndcg_at_10', 'primary_quality_value': 0.5268284656504536, 'profile': 'portable-agentic', 'retrieval_cost_est': 2.003001288734621e-09, 'search_params': {'hnsw_ef': 32}, 'task_cost_est': 282.5605704718016}",portable-agentic,ndcg_at_10,0.5268284656504536,,,,,,,,,,0,5.0
s1_single_hop,b0,1,qdrant,BAAI/bge-base-en-v1.5,run-3b167d4e2c-r0-c1-t25-portable_s1,2026-04-25T22:30:44+00:00,0,server,D4,portable-s1-unresolved,42,0,0.25,"{""avg_retrieved_input_tokens"": 1886.3948545861297, ""budget_level"": ""b0"", ""c_llm_in"": 0.15, ""embedding_cost_est"": 0.0, ""embedding_dim"": 768, ""embedding_model"": ""BAAI/bge-base-en-v1.5"", ""evidence_coverage_at_10"": 0.6202673910727602, ""evidence_coverage_at_20"": 0.6910678775611662, ""evidence_coverage_at_5"": 0.5568152764461489, ""llm_context_cost_est"": 282.95922818791945, ""primary_quality_metric"": ""ndcg_at_10"", ""primary_quality_value"": 0.5251461130666253, ""profile"": ""portable-agentic"", ""retrieval_cost_est"": 2.781486481219148e-09, ""search_params"": {""hnsw_ef"": 64}, ""task_cost_est"": 282.9592281907009}",0.6202673910727602,0.5251461130666253,0.5551818117254358,3.757958475034684,5.002787068951875,5.921117909019812,260.06943931381846,2.4866489142099183e-06,50.0,0.0,0,4.55906247952953,6.722647403366863,282.9592281907009,,,,,0.6202673910727602,45.63151062501129,10,3.314211874967441,894,10,3.437543459003791,894,0.6188310419674963,1.0,0.0,0.0,0.0,0.0026041666666666665,/Volumes/Max/AI/Project/MaxionBench/artifacts/runs/portable/b0/s1_single_hop__bge-base-en-v1-5/qdrant,run-3b167d4e2c-r0-c1-t25-portable_s1,3b167d4e2ca77c9b94b9f36d8b3920387e82abd567ceb248e9b20f33d918c8ec,portable_text_qrels,ndcg_at_10,processed_text_qrels,10.0,portable-agentic,b0,BAAI/bge-base-en-v1.5,768.0,0.15,"{'avg_retrieved_input_tokens': 1886.3948545861297, 'budget_level': 'b0', 'c_llm_in': 0.15, 'embedding_cost_est': 0.0, 'embedding_dim': 768, 'embedding_model': 'BAAI/bge-base-en-v1.5', 'evidence_coverage_at_10': 0.6202673910727602, 'evidence_coverage_at_20': 0.6910678775611662, 'evidence_coverage_at_5': 0.5568152764461489, 'llm_context_cost_est': 282.95922818791945, 'primary_quality_metric': 'ndcg_at_10', 'primary_quality_value': 0.5251461130666253, 'profile': 'portable-agentic', 'retrieval_cost_est': 2.781486481219148e-09, 'search_params': {'hnsw_ef': 64}, 'task_cost_est': 282.9592281907009}",portable-agentic,ndcg_at_10,0.5251461130666253,,,,,,,,,,0,6.0
s1_single_hop,b0,1,lancedb-inproc,BAAI/bge-base-en-v1.5,run-d9e9c72fcd-r0-c1-t25-portable_s1,2026-04-25T22:23:35+00:00,0,local,D4,portable-s1-unresolved,42,0,0.25,"{""avg_retrieved_input_tokens"": 1936.5314465408806, ""budget_level"": ""b0"", ""c_llm_in"": 0.15, ""embedding_cost_est"": 0.0, ""embedding_dim"": 768, ""embedding_model"": ""BAAI/bge-base-en-v1.5"", ""evidence_coverage_at_10"": 0.6697520465209145, ""evidence_coverage_at_20"": 0.7352525706299291, ""evidence_coverage_at_5"": 0.6126135569531795, ""llm_context_cost_est"": 290.47971698113207, ""primary_quality_metric"": ""ndcg_at_10"", ""primary_quality_value"": 0.5670059247773119, ""profile"": ""portable-agentic"", ""retrieval_cost_est"": 1.170720148743358e-08, ""search_params"": {""hnsw_ef"": 32}, ""task_cost_est"": 290.47971699283926}",0.6697520465209145,0.5670059247773119,0.5819949835280024,15.697291470132768,16.18134370073676,16.835256415652108,63.585694541403605,7.445780146007757e-06,50.0,0.0,0,0.00016600824892520905,0.00029092305339872837,290.47971699283926,,,,,0.6697520465209145,25.622342583024874,10,10.006856625084765,628,10,10.002249791985378,636,0.5567269589519128,1.0,0.0,0.1430511474609375,0.00018008297502092319,0.0026798779357726232,/Volumes/Max/AI/Project/MaxionBench/artifacts/runs/portable/b0/s1_single_hop__bge-base-en-v1-5/lancedb_inproc,run-d9e9c72fcd-r0-c1-t25-portable_s1,d9e9c72fcdda4c1b51ad4f64714b25e44aa233dd6d519b0d212897605716d127,portable_text_qrels,ndcg_at_10,processed_text_qrels,10.0,portable-agentic,b0,BAAI/bge-base-en-v1.5,768.0,0.15,"{'avg_retrieved_input_tokens': 1936.5314465408806, 'budget_level': 'b0', 'c_llm_in': 0.15, 'embedding_cost_est': 0.0, 'embedding_dim': 768, 'embedding_model': 'BAAI/bge-base-en-v1.5', 'evidence_coverage_at_10': 0.6697520465209145, 'evidence_coverage_at_20': 0.7352525706299291, 'evidence_coverage_at_5': 0.6126135569531795, 'llm_context_cost_est': 290.47971698113207, 'primary_quality_metric': 'ndcg_at_10', 'primary_quality_value': 0.5670059247773119, 'profile': 'portable-agentic', 'retrieval_cost_est': 1.170720148743358e-08, 'search_params': {'hnsw_ef': 32}, 'task_cost_est': 290.47971699283926}",portable-agentic,ndcg_at_10,0.5670059247773119,,,,,,,,,,0,7.0
s1_single_hop,b0,1,pgvector,BAAI/bge-base-en-v1.5,run-596a084bc3-r0-c1-t25-portable_s1,2026-04-25T22:26:35+00:00,0,postgres16-pgvector,D4,portable-s1-unresolved,42,0,0.25,"{""avg_retrieved_input_tokens"": 2244.7264150943397, ""budget_level"": ""b0"", ""c_llm_in"": 0.15, ""embedding_cost_est"": 0.0, ""embedding_dim"": 768, ""embedding_model"": ""BAAI/bge-base-en-v1.5"", ""evidence_coverage_at_10"": 0.8877358490566037, ""evidence_coverage_at_20"": 0.9226415094339623, ""evidence_coverage_at_5"": 0.8382075471698113, ""llm_context_cost_est"": 336.70896226415095, ""primary_quality_metric"": ""ndcg_at_10"", ""primary_quality_value"": 0.7467713828726917, ""profile"": ""portable-agentic"", ""retrieval_cost_est"": 6.872236499229717e-08, ""search_params"": {""ivfflat_probes"": 32}, ""task_cost_est"": 336.70896233287334}",0.8877358490566037,0.7467713828726917,0.7052785265049415,94.24506244249642,96.50976050761528,98.52455444633961,10.581132253981556,7.284570689183501e-06,50.0,1.0,0,0.4015840240754187,0.50300566945225,336.70896233287334,,,,,0.8877358490566037,37.71517704206053,10,10.00449766695965,104,10,10.017831500037573,106,0.683515791897662,1.0,0.0,0.0,0.00041812658309936523,0.002617777558043599,/Volumes/Max/AI/Project/MaxionBench/artifacts/runs/portable/b0/s1_single_hop__bge-base-en-v1-5/pgvector,run-596a084bc3-r0-c1-t25-portable_s1,596a084bc331bb546a945debe268bc25986a0af764613847fd516d2a9bf03a09,portable_text_qrels,ndcg_at_10,processed_text_qrels,10.0,portable-agentic,b0,BAAI/bge-base-en-v1.5,768.0,0.15,"{'avg_retrieved_input_tokens': 2244.7264150943397, 'budget_level': 'b0', 'c_llm_in': 0.15, 'embedding_cost_est': 0.0, 'embedding_dim': 768, 'embedding_model': 'BAAI/bge-base-en-v1.5', 'evidence_coverage_at_10': 0.8877358490566037, 'evidence_coverage_at_20': 0.9226415094339623, 'evidence_coverage_at_5': 0.8382075471698113, 'llm_context_cost_est': 336.70896226415095, 'primary_quality_metric': 'ndcg_at_10', 'primary_quality_value': 0.7467713828726917, 'profile': 'portable-agentic', 'retrieval_cost_est': 6.872236499229717e-08, 'search_params': {'ivfflat_probes': 32}, 'task_cost_est': 336.70896233287334}",portable-agentic,ndcg_at_10,0.7467713828726917,,,,,,,,,,0,8.0
s1_single_hop,b0,4,pgvector,BAAI/bge-small-en-v1.5,run-82c0bdab82-r0-c4-t25-portable_s1,2026-04-25T22:38:14+00:00,0,postgres16-pgvector,D4,portable-s1-unresolved,42,0,0.25,"{""avg_retrieved_input_tokens"": 1521.34631147541, ""budget_level"": ""b0"", ""c_llm_in"": 0.15, ""embedding_cost_est"": 0.0, ""embedding_dim"": 384, ""embedding_model"": ""BAAI/bge-small-en-v1.5"", ""evidence_coverage_at_10"": 0.4711480288836846, ""evidence_coverage_at_20"": 0.5515458300806662, ""evidence_coverage_at_5"": 0.3870698347645069, ""llm_context_cost_est"": 228.2019467213115, ""primary_quality_metric"": ""ndcg_at_10"", ""primary_quality_value"": 0.3946689005868845, ""profile"": ""portable-agentic"", ""retrieval_cost_est"": 5.93421523127736e-08, ""search_params"": {""ivfflat_probes"": 32}, ""task_cost_est"": 228.20194678065363}",0.4711480288836846,0.3946689005868845,0.45306157298985167,51.16866697790101,80.349966569338,81.64248136454262,48.789299691841336,2.8958970328633516e-05,50.0,0.5,0,0.32929203007370234,0.43584316037595267,228.20194678065363,,,,,0.4711480288836846,30.624000708921812,10,10.019901374937035,368,10,10.002193166990764,488,0.6106127920793369,4.0,0.0,0.0,0.00019282102584838867,0.010422943392768502,/Volumes/Max/AI/Project/MaxionBench/artifacts/runs/portable/b0/s1_single_hop__bge-small-en-v1-5/pgvector,run-82c0bdab82-r0-c1-t25-portable_s1,82c0bdab82f62843d3427ac1465cef578e9b07b9634c490430c4d44fb62e6c1f,portable_text_qrels,ndcg_at_10,processed_text_qrels,10.0,portable-agentic,b0,BAAI/bge-small-en-v1.5,384.0,0.15,"{'avg_retrieved_input_tokens': 1521.34631147541, 'budget_level': 'b0', 'c_llm_in': 0.15, 'embedding_cost_est': 0.0, 'embedding_dim': 384, 'embedding_model': 'BAAI/bge-small-en-v1.5', 'evidence_coverage_at_10': 0.4711480288836846, 'evidence_coverage_at_20': 0.5515458300806662, 'evidence_coverage_at_5': 0.3870698347645069, 'llm_context_cost_est': 228.2019467213115, 'primary_quality_metric': 'ndcg_at_10', 'primary_quality_value': 0.3946689005868845, 'profile': 'portable-agentic', 'retrieval_cost_est': 5.93421523127736e-08, 'search_params': {'ivfflat_probes': 32}, 'task_cost_est': 228.20194678065363}",portable-agentic,ndcg_at_10,0.3946689005868845,,,,,,,,,,0,1.0
s1_single_hop,b0,4,faiss-cpu,BAAI/bge-small-en-v1.5,run-79eb239621-r0-c4-t25-portable_s1,2026-04-25T22:33:50+00:00,0,cpu,D4,portable-s1-unresolved,42,0,0.25,"{""avg_retrieved_input_tokens"": 1751.7281879194632, ""budget_level"": ""b0"", ""c_llm_in"": 0.15, ""embedding_cost_est"": 0.0, ""embedding_dim"": 384, ""embedding_model"": ""BAAI/bge-small-en-v1.5"", ""evidence_coverage_at_10"": 0.6007523702993501, ""evidence_coverage_at_20"": 0.6635795071197755, ""evidence_coverage_at_5"": 0.5169432015908526, ""llm_context_cost_est"": 262.75922818791946, ""primary_quality_metric"": ""ndcg_at_10"", ""primary_quality_value"": 0.5055062099023669, ""profile"": ""portable-agentic"", ""retrieval_cost_est"": 3.859542157727428e-09, ""search_params"": {""hnsw_ef"": 64}, ""task_cost_est"": 262.759228191779}",0.6007523702993501,0.5055062099023669,0.5295093391569902,3.401708498131484,5.265441531082615,5.357700565364212,752.4938986171094,3.4504306890083203e-06,50.0,0.0,0,0.00900006853044033,0.009209034033119678,262.759228191779,,,,,0.6007523702993501,4.0280224999878556,10,1.1847539589507505,894,10,1.1880494999932125,894,0.3723315829411149,4.0,0.0,0.07450580596923828,7.275957614183426e-05,0.01045541493052345,/Volumes/Max/AI/Project/MaxionBench/artifacts/runs/portable/b0/s1_single_hop__bge-small-en-v1-5/faiss_cpu,run-79eb239621-r0-c1-t25-portable_s1,79eb239621a0706041ab4e78eebe63194545a6cfbb7fd780c662120593df2342,portable_text_qrels,ndcg_at_10,processed_text_qrels,10.0,portable-agentic,b0,BAAI/bge-small-en-v1.5,384.0,0.15,"{'avg_retrieved_input_tokens': 1751.7281879194632, 'budget_level': 'b0', 'c_llm_in': 0.15, 'embedding_cost_est': 0.0, 'embedding_dim': 384, 'embedding_model': 'BAAI/bge-small-en-v1.5', 'evidence_coverage_at_10': 0.6007523702993501, 'evidence_coverage_at_20': 0.6635795071197755, 'evidence_coverage_at_5': 0.5169432015908526, 'llm_context_cost_est': 262.75922818791946, 'primary_quality_metric': 'ndcg_at_10', 'primary_quality_value': 0.5055062099023669, 'profile': 'portable-agentic', 'retrieval_cost_est': 3.859542157727428e-09, 'search_params': {'hnsw_ef': 64}, 'task_cost_est': 262.759228191779}",portable-agentic,ndcg_at_10,0.5055062099023669,,,,,,,,,,0,2.0
